# 2016.07.04 created by TopoDroid v 3.1.4

# d35
# from to tape compass clino (declination 0.0000)
# units tape meters compass clino degrees
23@d35,-,1.21,18.3,-85.7
23@d35,24@d35,2.47,294.8,30.1
24@d35,-,0.38,21.1,11.4
24@d35,-,1.10,30.8,49.0
24@d35,-,2.83,19.7,86.7
24@d35,-,4.38,217.6,87.0
24@d35,-,0.95,252.7,77.7
24@d35,-,0.85,7.8,-64.3
24@d35,-,1.77,357.7,-78.4
24@d35,-,1.42,174.1,-83.8
24@d35,25@d35,1.51,302.2,6.3
25@d35,-,1.79,67.9,80.3
25@d35,-,3.88,47.5,72.7
25@d35,-,1.41,72.7,21.5
25@d35,-,0.52,56.7,-33.6
25@d35,-,1.97,358.2,-79.4
25@d35,27@d35,2.41,349.6,5.1
25@d35,-,0.29,95.4,3.0
25@d35,-,1.70,44.4,72.4
25@d35,-,1.41,68.5,-63.9
25@d35,-,1.25,56.2,-86.3
25@d35,26@d35,1.42,356.8,7.7
26@d35,-,0.51,256.3,3.2
26@d35,-,1.29,262.0,-61.1
26@d35,-,3.49,324.8,82.3
26@d35,28@d35,3.43,350.9,26.8
28@d35,-,3.60,91.9,88.0
28@d35,-,0.53,105.9,74.8
28@d35,-,0.41,100.6,8.0
28@d35,-,1.95,76.4,-83.8
28@d35,29@d35,1.89,51.8,5.9
29@d35,-,0.51,286.9,3.8
29@d35,-,1.55,307.4,65.4
29@d35,-,1.69,332.1,-82.4
29@d35,30@d35,4.26,2.9,5.5
30@d35,-,0.47,263.7,7.6
30@d35,-,5.22,342.8,78.1
30@d35,-,1.73,301.2,-85.6
30@d35,31@d35,4.76,333.5,-0.4
31@d35,-,0.63,242.5,3.0
31@d35,-,1.75,259.0,-77.3
31@d35,-,2.89,317.6,73.1
31@d35,32@d35,5.64,332.8,5.9
32@d35,-,0.64,60.4,4.1
32@d35,-,3.14,298.5,80.1
32@d35,-,2.11,83.9,-74.3
32@d35,33@d35,3.36,346.8,-3.3
33@d35,-,0.50,77.6,7.3
33@d35,-,2.96,342.3,77.6
33@d35,-,1.71,103.4,-87.8
33@d35,34@d35,0.63,300.3,2.3
34@d35,-,14.58,21.8,-86.4
34@d35,35@d35,2.49,4.7,33.4
35@d35,-,0.71,244.6,9.6
35@d35,-,2.27,220.3,83.7
35@d35,-,5.53,329.8,-87.1
35@d35,36@d35,2.37,304.5,36.8
36@d35,-,0.33,198.3,10.8
36@d35,-,4.02,280.3,-86.9
36@d35,-,3.03,126.0,84.6
36@d35,37@d35,1.47,265.1,10.1
37@d35,-,0.92,42.0,-0.4
37@d35,-,0.76,251.7,30.8
37@d35,-,1.00,30.3,78.0
37@d35,-,2.88,72.7,69.1
37@d35,-,1.05,54.1,-67.4
37@d35,-,4.43,51.2,-78.9
37@d35,38@d35,4.68,342.6,-12.1
38@d35,-,0.64,250.7,-2.0
38@d35,-,1.10,308.3,67.8
